,text,HS
7345,tkp ditemukan dokumen disket email menyebut keterlibatan tokoh nhendardi ale idya siregar sofyan wanandi surya paloh yayasan prasetya mulya perkumpulan konglomerat tionghoa,0
634,cagub jabar bicara toleransi muzakarah icmi jabar,0
12133,iya situ cina langsung kasih palestina negara negara arab dibebankan palestina palestina dicekok utang fokus utang ngga lihat cina negatif,0
40,gapernah mendalami al quran ya bang pantesan mulutnya kaya orang kafir bejat hina farhatabbaslaw,1
3029,emang dasar kecoa goblog ngambil uang simpanan bank dikelola bank izin menabung dibilang maling,1
6646,bom diiah,0
845,soeha o komunis menguasai negeri agama sepe i skrng,0
11261,ramos pandang idola ku anggap jijik babi kmk,1
12748,so far tantangan nya sih ya sehat ya bolak mengurus dokumen tersiapkan matang pengalaman serunya tki kayak gue susah payah antri macet dll,0
11117,yg orang orang mempolitisasi isu isu islam nusantara bhkn bilang sesat kafir dll isu isu sepe i dipolitisasi kepentingan politik klo perbedaan pendapat ya sila,0
1383,mengaduk aduk jawa kayak dki makan pandai belajar pilihan kepala daerah jaka a,0
5933,rezim dablek ngutang pakai dana haji lengserkan jokowi,1
6340,kecacatan lgbt ruang kononnya kebebasan hak hedonisme dirancakkan radiohead,0
6252,tau reaksi pakdhe dengar mulut alfian tanjung rusak menebar fitnah eh senyum senyum aja dasar jkw diktator,1
6968,intinya cina dipandang negatif disayangkan skrg cina cina indonesia kena imbas masyarakat sensitif cina pki pki kanye andalan kubu abang,0
8655,diradio ya bolot,1
922,lu goblok nonton acara nya semalam gak beliau islam fiksi bukti video ny lu islam kafir islam kebangetan fitnah muslim kafir gue heran,1
1792,ya mundur klo membunuh ratus enam puluh juta rakyat perlahan,1
7946,inggrid widjanarko mengabdikan hidup seni budaya poskotanews,0
4221,4 kebijakan presiden jokowi bikin pns bahagia 1 emen khusus pns 2 thr 3 pensiunan thr 4 pns pria cuti istri melahirkan fakta dustakan 2019tetapjokowi,0
12845,typo gembel wkwk,0
129,nya menteri suha o homo,1
2182,akun komunis,1
5850,udh anti asing,0
8708,bangsa negara berani mengubur islam said negara kalah aksi teroris,1
3242,online pajak income persh online nye yg income nya iklan iuran premium produk lost ta erapa dibanding usaha mall menyerap ten kerja online diserap dipelihara wi,1
9460,cinta buta memilih salah,0
7866,ngelancarin bahasa inggris deh ai belajar bahasa asing inggris tercantol wkwk jarang dipakai ya,0
3151,jokowi harap bandara ajati dongkrak ekonomi jawa barat,0
11595,tau ya emang gas hahaha aslinya anaknya buta arah tau domisili mun,0
10229,60 sahabat nabi pergi merantau mengembara timur mencari bani jawi situlah permulaan bani jawi menerima islam peperangan mendukung islam kewajipan,0
5540,panggil cebong ntapi curut cenong,1
7735,anak daerah khusus ibukota jaka a banget ya 21 berfoto wakil gubernur dki jaka a,0
3563,arahbaruindonesia menjadikan indonesia menjadikan kekuatan 5 dunia bidang ekonomi teknologi militer ketiga bidang minimal indonesia menempati peringkat 5 dunia mari dukung presiden ri 2019 2024,0
12151,rezimrepresifantiislam lengserkan jokowi,1
12158,tul dilupakan rakyat cari sensasi kasian banget prabowo panik nprabowo membabi buta nserang nelite politik goblok bermental maling nkritik konsep kritik terarah,0
9702,lupa pendukung penista agama ahok ,1
11026,ya un rupiah asing banget,0
5124,hahaha sebarisan panik gerindra pd berkoalisi berusaha memecah koalisi lawan jkw panik ya bunyi gini anak sd susilo bambang yudhoyono dibalik rezim jkw sulit ahy calon wakil presiden jkw kebagian menteri gak sindir dll,0
3670,onta dibalik kasian ih,0
1359,sejahat jahat manusia suka mencari kesalahan kecelaan orang lalat mencari bangkai busuk quranhour,0
5675,mahasiswa zaman old bersusah payah menurunkan rezim soeha o mahasiswa zaman now berusaha paid mempromosikan,0
8593,prediksi togel hongkong kamis 29 maret 2018 nangka main 9123 nmistik 6058 nangka jagaan 38 68 05 nshio monyet,0
1059,presiden jokowi bikin pns bahagia kebijakannya,0
3060,internasional sih nan kayaknya tki naga naganya sih,0
11216,pe amina rugi nbpjs rugi ngaruda rugi npln rugi nmayoritas bumn rugi njalan tol ambruk nbensin mahal nlistrik mahal npajak mencekik ntelor mahal ndaging mahal nberas impor ngaram impor ncangkul impor ntka asing merajalela nprestas,0
12556,sok kristen kristen banget haha yaudah semoga denial hidup tenang,0
11081,sekumpulan teman penista agama ntdk empati korban banjir koar koar memuji jujungannya hype e transfer protocol over secure socket layer t co xqfktdg74x,1
7336,tinggal sebulan anies dicopot jabatannya gubernur dki lantaran kunjung,1
13052,goblok benaran nmatane picek,1
6587,ya kasihan nih cewek cewek menonton bokep atlet buka baju langsung sange,0
10338,suka pencitraan laris piala citra versi kecebong sekolam na inya pencari makan hidup hasil penjilatan master kecebong ntidak peduli master cebong goblok sekolam,1
257,muslim pejabat negara be indak bangsa negara,0
6690,cont mendekati phoebe tatapan keanu terintimidasi ramah orang asing be emu ilya gendongan nya hadapan tangan mungil nya,0
12760,klo manusia kafir twit nya surat pemberitahuan tahunan,1
5299,pembangunan ekonomi kreatif ditawarkan pasangan calon gubernur wakil gubernur nomor urut tb hasanuddin anton charliyan 2untukjabar jabarhasanah2aja hasanah selamatharika beyondthebandungspirit habisgelapterbitlahterang,0
9296,inget pipis onta lihat wajahnya,1
8629,cebong nge i,1
1347,ulama dikenal,0
8905,15 tuduhan kpk terbukti lhi dipaksakan diputus bersalah percobaan penyuapan divonis 16 penjara n16 penjara nama baiknya a kehormatan keluarganya hancur fitnah kpk media media bajingan kolaborator kpk nkpk mafia bejat,1
1769,ancuran tai burung hancuran tai burung,0
6527,ngambang kayak tai jir,0
7415,si penghina al qur an dipenjara penjarakan ahok penjarakan ahok,1
7469,warga baduy selesai memperingati tradisi seba pendopo pemkab lebak dilanjutkan be emu gubernur banten wahidin halim sabtu 21 4 sebabaduy2018 dw,0
5130,simpulkan nakhirnya cuci tangan mencari selamat nkalo ya brengsek ,0
176,menasihati kali ugal ugalan nih rezim eh negeri keburu ancor ekonomi moral marit kacaoooooo,1
3841,bom djia,0
4655,anjir te awa,0
2114,rezim suha o kroni prabowo anti islam lihat muslim priok demo bantai keluarga suha o prabowo,1
8791,enaknya memek,0
5322,mending bilangnya anak gendut jablay,0
